Student_ID,Country,Gender,birthdate,Sub_Type
STU001,Brazil,Male,7/27/1999,Premium
STU002,Poland,Female,8/24/1998,Premium
STU003,Israel,Male,12/13/2001,Basic
STU004,Guatamala,Male,5/15/2004,Basic
STU005,Nicaragua,Male,6/8/1997,Free
STU006,China,Male,7/6/2004,Premium
STU007,Taiwan,Female,3/29/2006,Premium
STU008,Vietnam,Female,6/1/2002,Basic
STU009,Cambodia,Female,4/16/2001,Basic
STU010,Cambodia,Male,1/22/1997,Basic
STU011,France,Female,11/23/2002,Basic
STU012,France,Male,7/28/2000,Basic
STU013,Croatia,Male,12/31/2004,Free
STU014,Turkey,Male,5/21/2004,Premium
STU015,Turkey,Male,8/11/2001,Basic
STU016,Italy,Male,3/17/1999,Free
STU017,Turkey,Female,8/14/1997,Premium
STU018,Greece,Male,9/26/1998,Premium
STU019,Ukraine,Male,6/10/2006,Basic
STU020,Vietnam,Female,3/28/2001,Free
STU021,Russia,Male,9/1/2005,Basic
STU022,Thailand,Female,11/9/2000,Basic
STU023,Nicaragua,Male,1/3/1997,Free
STU024,Japan,Male,7/7/2002,Basic
STU025,S.Korea,Male,10/23/2000,Free
STU026,Japan,Male,6/25/1999,Free
STU027,Paraguay,Male,5/10/2004,Basic
STU028,India,Female,8/8/2006,Premium
STU029,Guatamala,Female,4/10/2006,Basic
STU030,Argentina,Male,8/23/1999,Premium
STU031,Argentina,Female,6/29/2006,Free
STU032,Argentina,Female,1/1/2001,Basic
STU033,Kenya,Male,5/26/1999,Basic
STU034,Singapore,Female,9/24/2005,Basic
STU035,Vietnam,Male,12/27/2001,Premium
STU036,Guatamala,Male,6/17/2004,Basic
STU037,UAE,Male,9/13/2005,Premium
STU038,Nicaragua,Female,1/10/1997,Free
STU039,Guatamala,Male,1/30/2005,Free
STU040,Japan,Male,8/10/2003,Premium
STU041,Israel,Male,9/5/2005,Premium
STU042,Brazil,Female,7/15/2000,Free
STU043,Brazil,Female,1/7/2005,Premium
STU044,Belgium,Female,11/25/1998,Premium
STU045,Paraguay,Male,1/27/2004,Free
STU046,Malaysia,Male,3/29/2006,Premium
STU047,China,Female,6/24/2000,Premium
STU048,China,Male,5/14/2004,Premium
STU049,Taiwan,Female,8/6/1999,Premium
STU050,Taiwan,Female,12/19/2004,Basic
STU051,Vietnam,Male,9/30/1999,Basic
STU052,Germany,Female,9/11/2000,Free
STU053,France,Male,12/17/2003,Premium
STU054,Croatia,Male,4/4/2003,Premium
STU055,Italy,Male,3/4/1998,Basic
STU056,Spain,Male,8/3/2003,Free
STU057,Spain,Male,10/28/2000,Premium
STU058,Greece,Male,9/18/2005,Free
STU059,Portugal,Female,12/11/2006,Basic
STU060,Vietnam,Female,7/2/2002,Premium
STU061,Vietnam,Female,6/17/1997,Free
STU062,Thailand,Male,7/29/2006,Premium
STU063,Thailand,Male,7/23/2005,Premium
STU064,Thailand,Female,9/2/2005,Basic
STU065,Indonesia,Female,8/15/1998,Premium
STU066,Japan,Male,4/20/1998,Premium
STU067,Brazil,Female,8/22/2001,Free
STU068,Poland,Female,7/10/2004,Basic
STU069,Belgium,Male,1/9/2003,Basic
STU070,Malaysia,Female,1/11/1999,Basic
STU071,S. Korea,Female,5/22/2006,Basic
STU072,China,Male,1/2/2002,Basic
STU073,China,Female,10/15/1998,Free
STU074,El Salvador,Male,8/26/2002,Premium
STU075,Nigeria,Male,1/7/2006,Basic
STU076,Germany,Male,1/14/2005,Free
STU077,Turkey,Female,3/16/1997,Free
STU078,Ukraine,Female,8/8/1998,Basic
STU079,Turkey,Female,10/23/2005,Free
STU080,Greece,Male,1/25/2005,Basic
STU081,Greece,Male,6/30/2002,Premium
STU082,Singapore,Male,6/3/1997,Premium
STU083,Singapore,Male,8/19/2002,Premium
STU084,Vietnam,Female,7/31/2000,Premium
STU085,Vietnam,Male,10/30/2000,Basic
STU086,Vietnam,Male,11/28/2001,Basic
STU087,Vietnam,Female,12/21/2003,Basic
STU088,Guatamala,Male,5/15/2003,Free
STU089,Guatamala,Female,4/16/1999,Premium
STU090,Mexico,Female,11/5/2003,Free
STU091,Mexico,Male,9/23/2003,Free
STU092,Mexico,Female,8/29/2001,Free
STU093,S.Korea,Male,11/20/2000,Free
STU094,Brazil,Female,10/9/1997,Premium
STU095,Belgium,Male,9/19/2001,Premium
STU096,S. Korea,Male,5/6/2000,Basic
STU097,Estonia,Female,11/17/1997,Free
STU098,Israel,Male,4/7/2004,Basic
STU099,Nicaragua,Male,3/31/2006,Free
STU100,UAE,Male,2/28/1999,Basic
STU101,Taiwan,Female,7/2/2001,Free
STU102,France,Male,8/30/2001,Free
STU103,Saudi Arabia,Male,2/5/2002,Free
STU104,Saudi Arabia,Female,2/14/2001,Free
STU105,Greece,Male,4/19/1999,Free
STU106,Portugal,Male,3/2/2003,Premium
STU107,Vietnam,Male,3/8/2001,Premium
STU108,Vietnam,Female,9/30/2006,Premium
STU109,Israel,Female,9/22/2000,Premium
STU110,Egypt,Male,7/19/1997,Basic
STU111,Mexico,Male,9/23/2000,Free
STU112,Mexico,Male,3/25/2006,Free
STU113,S.Korea,Female,5/12/1999,Basic
STU114,S.Korea,Male,12/30/2004,Free
STU115,S.Korea,Male,1/2/2001,Free
STU116,Brazil,Female,4/7/2002,Basic
STU117,Hungary,Female,3/26/2002,Basic
STU118,Hungary,Female,8/3/1997,Basic
STU119,Paraguay,Male,8/2/1999,Basic
STU120,S. Korea,Female,9/15/1999,Basic
STU121,Estonia,Male,4/25/2002,Free
STU122,Vietnam,Male,11/30/2001,Free
STU123,Germany,Female,10/14/1998,Free
STU124,Cambodia,Female,1/24/2003,Premium
STU125,Saudi Arabia,Female,3/20/2005,Premium
STU126,Kenya,Female,12/8/1999,Premium
STU127,Spain,Male,9/28/2003,Basic
STU128,Singapore,Male,3/23/2003,Basic
STU129,Russia,Female,11/29/2002,Basic
STU130,Vietnam,Male,12/29/2004,Basic
STU131,Vietnam,Female,2/28/2001,Premium
STU132,Vietnam,Male,1/27/2001,Free
STU133,Estonia,Female,1/3/2004,Free
STU134,Japan,Female,1/22/2001,Basic
STU135,Japan,Female,8/17/2006,Basic
STU136,Nigeria,Male,8/30/2004,Premium
STU137,Estonia,Male,4/29/1998,Free
STU138,Brazil,Female,7/9/2001,Free
STU139,Brazil,Male,12/3/1999,Premium
STU140,China,Male,9/28/2001,Premium
STU141,India,Male,10/2/2000,Premium
STU142,Japan,Male,10/21/1997,Free
STU143,Taiwan,Female,8/13/1998,Free
STU144,Cambodia,Female,11/8/2000,Premium
STU145,Cambodia,Male,8/11/2001,Basic
STU146,France,Male,1/30/2003,Basic
STU147,France,Female,12/14/2003,Free
STU148,France,Male,2/26/2000,Premium
STU149,France,Female,10/16/1999,Free
STU150,Croatia,Female,9/7/1999,Premium
STU151,Kenya,Female,10/27/2005,Premium
STU152,Peru,Male,1/15/2001,Free
STU153,Russia,Male,2/13/2006,Basic
STU154,Vietnam,Female,1/14/2000,Premium
STU155,Thailand,Male,12/9/1997,Premium
STU156,Guatamala,Female,3/14/2000,Basic
STU157,Thailand,Male,2/4/2003,Free
STU158,Indonesia,Male,6/1/2002,Premium
STU159,Venezuala,Male,6/30/2005,Basic
STU160,Brazil,Female,7/27/2005,Free
STU161,France,Female,1/10/2001,Basic
STU162,Poland,Female,7/2/2006,Premium
STU163,Hungary,Female,4/7/2003,Free
STU164,Hungary,Female,10/21/1998,Basic
STU165,China,Female,8/13/2000,Premium
STU166,Japan,Male,12/11/1999,Free
STU167,China,Male,2/25/2006,Premium
STU168,Israel,Male,10/31/2000,Basic
STU169,UAE,Male,7/13/1999,Premium
STU170,Taiwan,Male,6/29/2005,Premium
STU171,Germany,Male,3/21/2005,Free
STU172,Saudi Arabia,Male,9/19/1999,Free
STU173,Croatia,Male,11/5/2004,Premium
STU174,Croatia,Female,11/16/2002,Premium
STU175,Spain,Female,2/20/2006,Basic
STU176,Spain,Female,4/10/2003,Premium
STU177,Spain,Male,2/7/2003,Free
STU178,Greece,Female,9/6/2005,Basic
STU179,Singapore,Male,7/5/2003,Premium
STU180,Egypt,Female,3/10/1998,Basic
STU181,Vietnam,Female,3/26/2002,Free
STU182,Vietnam,Male,10/20/2002,Free
STU183,Thailand,Female,6/14/1999,Free
STU184,Indonesia,Female,1/31/2003,Basic
STU185,Japan,Female,10/29/2003,Premium
STU186,Egypt,Male,4/23/1998,Premium
STU187,Mexico,Female,12/17/1998,Free
STU188,Mexico,Male,2/26/2004,Basic
STU189,Brazil,Male,3/8/2002,Basic
STU190,Poland,Female,2/11/2006,Premium
STU191,Hungary,Female,7/27/2000,Free
STU192,Malaysia,Female,1/12/2000,Basic
STU193,China,Female,12/27/1997,Basic
STU194,China,Female,12/5/2000,Premium
STU195,Pakistan,Female,12/10/2005,Premium
STU196,Estonia,Male,8/28/2006,Free
STU197,Israel,Male,5/21/2006,Basic
STU198,Guatamala,Male,12/8/2006,Basic
STU199,China,Male,11/8/2005,Basic
STU200,Taiwan,Male,6/24/2006,Free
STU201,Germany,Male,8/21/1999,Free
STU202,Croatia,Female,9/28/1998,Free
STU203,Singapore,Male,5/22/1999,Premium
STU204,Vietnam,Male,6/5/2000,Basic
STU205,Nicaragua,Male,10/16/2001,Free
STU206,UAE,Male,11/6/2003,Premium
STU207,Indonesia,Male,11/6/1997,Basic
STU208,Japan,Female,5/31/2001,Premium
STU209,Nigeria,Male,4/17/2005,Basic
STU210,El Salvador,Male,12/28/2002,Free
STU211,Mexico,Female,12/17/2001,Free
STU212,Brazil,Male,5/16/2005,Basic
STU213,S.Korea,Male,4/8/2002,Free
STU214,S.Korea,Male,7/8/2000,Basic
STU215,France,Female,7/2/1997,Premium
STU216,S. Korea,Male,4/30/2004,Basic
STU217,China,Male,9/26/1999,Free
STU218,Vietnam,Male,1/21/2001,Basic
STU219,Vietnam,Female,10/10/2006,Premium
STU220,Argentina,Female,7/13/1998,Free
STU221,Kenya,Female,9/5/2002,Basic
STU222,Turkey,Male,1/29/2001,Premium
STU223,Portugal,Female,8/21/2002,Basic
STU224,Vietnam,Male,10/31/1997,Free
STU225,Russia,Female,11/20/1999,Free
STU226,Vietnam,Male,7/25/2004,Basic
STU227,Vietnam,Female,1/31/1998,Premium
STU228,Indonesia,Male,7/4/1997,Basic
STU229,Indonesia,Male,8/4/1998,Premium
STU230,Israel,Male,6/30/2005,Premium
STU231,India,Female,4/10/2002,Free
STU232,Brazil,Female,10/5/1997,Basic
STU233,Poland,Female,6/10/2000,Free
STU234,Poland,Female,12/5/2001,Premium
STU235,Poland,Female,1/4/1997,Basic
STU236,Hungary,Female,9/17/2001,Premium
STU237,Hungary,Female,12/24/1999,Basic
STU238,Hungary,Male,11/21/2006,Premium
STU239,Paraguay,Female,9/11/1997,Free
STU240,Malaysia,Male,12/26/2002,Premium
STU241,S. Korea,Male,6/30/2002,Premium
STU242,China,Male,2/12/1999,Premium
STU243,Japan,Male,9/9/1997,Free
STU244,Israel,Female,5/13/2004,Premium
STU245,Germany,Male,2/1/2006,Free
STU246,Germany,Male,10/13/2006,Free
STU247,Spain,Male,2/8/2002,Free
STU248,Ukraine,Female,7/10/2005,Free
STU249,Greece,Male,8/13/2004,Basic
STU250,Portugal,Male,4/17/2000,Basic
STU251,Vietnam,Male,10/24/2001,Premium
STU252,Vietnam,Male,10/11/2004,Premium
STU253,Vietnam,Male,8/9/2000,Premium
STU254,El Salvador,Male,4/10/2004,Free
STU255,India,Female,10/26/2003,Free
STU256,Venezuala,Female,10/17/1999,Basic
STU257,Hungary,Female,7/5/2004,Premium
STU258,Hungary,Female,2/20/2000,Free
STU259,China,Male,3/3/1998,Premium
STU260,China,Male,5/21/2003,Basic
STU261,Colombia,Female,10/27/1997,Basic
STU262,China,Female,10/18/2003,Basic
STU263,Taiwan,Female,8/28/2000,Free
STU264,Taiwan,Female,6/16/2006,Basic
STU265,Cambodia,Female,5/10/2002,Premium
STU266,Saudi Arabia,Male,12/24/2004,Basic
STU267,Kenya,Female,3/9/1999,Basic
STU268,Ukraine,Female,3/9/1997,Premium
STU269,Greece,Male,12/7/2000,Free
STU270,Greece,Female,11/6/1997,Premium
STU271,Greece,Male,4/2/2000,Free
STU272,Vietnam,Male,6/3/1999,Basic
STU273,Vietnam,Female,3/15/2004,Free
STU274,Vietnam,Female,11/16/1998,Premium
STU275,Thailand,Male,11/8/1998,Free
STU276,UAE,Male,10/11/1999,Basic
STU277,Egypt,Female,10/27/2000,Free
STU278,Egypt,Male,3/30/2004,Free
STU279,Hungary,Male,5/15/2006,Basic
STU280,Colombia,Male,7/15/1998,Premium
STU281,Colombia,Male,10/15/1999,Free
STU282,China,Male,12/4/2006,Basic
STU283,China,Male,3/30/1997,Basic
STU284,Pakistan,Male,7/29/1999,Basic
STU285,Nicaragua,Female,7/30/2003,Free
STU286,UAE,Male,1/30/1997,Basic
STU287,Nicaragua,Male,3/27/2006,Free
STU288,Taiwan,Male,9/23/2005,Free
STU289,Saudi Arabia,Male,3/24/2006,Premium
STU290,Turkey,Male,8/25/2002,Basic
STU291,Greece,Male,8/6/2004,Premium
STU292,Portugal,Male,10/29/1997,Free
STU293,Singapore,Female,3/17/2003,Free
STU294,Singapore,Male,12/2/2003,Free
STU295,Egypt,Male,1/4/2001,Basic
STU296,Vietnam,Male,2/22/1999,Free
STU297,Russia,Female,7/12/2003,Premium
STU298,Vietnam,Male,5/31/2005,Basic
STU299,Vietnam,Male,1/25/2003,Basic
STU300,Vietnam,Male,8/18/1998,Premium
STU301,Vietnam,Male,10/21/2000,Basic
STU302,Vietnam,Male,10/14/2005,Basic
STU303,Thailand,Male,11/30/2004,Basic
STU304,Thailand,Male,11/9/2004,Basic
STU305,Thailand,Female,10/25/2003,Free
STU306,El Salvador,Male,9/30/2003,Free
STU307,Nigeria,Female,1/28/2004,Basic
STU308,India,Female,5/13/2005,Premium
STU309,Poland,Female,10/13/2002,Free
STU310,Poland,Female,1/7/1998,Premium
STU311,Poland,Female,2/17/1999,Premium
STU312,Poland,Female,11/23/2006,Basic
STU313,Paraguay,Female,10/1/2000,Free
STU314,S. Korea,Male,3/5/1997,Basic
STU315,China,Male,3/8/2001,Free
STU316,China,Female,5/20/1999,Premium
STU317,Venezuala,Male,9/7/2005,Premium
STU318,Japan,Female,9/7/2005,Free
STU319,China,Female,11/1/2006,Free
STU320,Taiwan,Male,9/5/2005,Free
STU321,Turkey,Female,3/24/2005,Premium
STU322,Turkey,Male,4/23/2001,Premium
STU323,Turkey,Female,1/4/1997,Basic
STU324,Italy,Male,2/1/1997,Free
STU325,Peru,Male,10/11/1998,Free
STU326,Peru,Female,9/29/1999,Basic
STU327,Spain,Male,3/3/2001,Free
STU328,UAE,Male,5/31/2001,Basic
STU329,Guatamala,Male,12/10/1999,Free
STU330,Indonesia,Female,10/27/1998,Free
STU331,Estonia,Male,8/11/1997,Free
STU332,Egypt,Male,5/4/1998,Premium
STU333,Mexico,Female,5/25/2005,Basic
STU334,Brazil,Female,3/4/1998,Basic
STU335,India,Male,2/4/2001,Free
STU336,Colombia,Female,8/18/2005,Free
STU337,China,Female,11/9/2000,Basic
STU338,China,Male,11/7/2003,Free
STU339,Estonia,Male,1/22/2002,Free
STU340,China,Male,4/17/2006,Premium
STU341,Taiwan,Male,1/18/2005,Basic
STU342,Vietnam,Female,7/9/2006,Premium
STU343,Cambodia,Male,5/31/2005,Basic
STU344,Saudi Arabia,Male,11/18/1998,Premium
STU345,Argentina,Male,12/23/2005,Premium
STU346,Turkey,Male,6/21/2005,Basic
STU347,Peru,Male,4/24/1997,Premium
STU348,Ukraine,Male,2/13/2002,Basic
STU349,Vietnam,Female,12/21/2002,Free
STU350,Mexico,Female,4/9/1998,Basic
STU351,Mexico,Female,11/18/2006,Free
STU352,Belgium,Male,5/1/2005,Premium
STU353,Malaysia,Male,3/13/2004,Premium
STU354,S. Korea,Female,10/18/1997,Free
STU355,Colombia,Female,11/30/2005,Premium
STU356,China,Male,8/16/2002,Premium
STU357,Pakistan,Female,5/20/1999,Basic
STU358,Nicaragua,Male,4/12/2002,Free
STU359,Vietnam,Female,12/12/2000,Premium
STU360,Turkey,Female,2/25/2003,Basic
STU361,Italy,Female,11/5/2006,Free
STU362,Peru,Male,1/30/1997,Basic
STU363,Peru,Male,9/25/2005,Premium
STU364,Spain,Male,10/17/2002,Free
STU365,Spain,Male,10/22/1999,Basic
STU366,Singapore,Male,1/19/2003,Free
STU367,Singapore,Female,7/27/2002,Free
STU368,Vietnam,Male,8/6/1997,Premium
STU369,Vietnam,Male,3/20/2006,Free
STU370,Vietnam,Female,7/22/1998,Free
STU371,Estonia,Male,8/4/1997,Free
STU372,Nigeria,Female,6/25/2006,Basic
STU373,El Salvador,Male,8/9/1998,Free
STU374,Mexico,Male,4/13/2004,Free
STU375,S.Korea,Male,6/17/1999,Free
STU376,S.Korea,Male,7/5/2004,Free
STU377,Brazil,Female,11/2/2003,Free
STU378,Poland,Female,6/29/2002,Basic
STU379,Poland,Female,8/18/1999,Free
STU380,Poland,Female,8/3/2002,Free
STU381,Belgium,Male,4/3/2004,Free
STU382,Japan,Female,9/28/2006,Basic
STU383,Paraguay,Male,2/27/2003,Free
STU384,India,Male,10/5/1998,Premium
STU385,Japan,Female,5/31/2006,Free
STU386,Colombia,Male,12/12/2004,Basic
STU387,China,Male,2/23/1998,Free
STU388,Estonia,Male,7/8/2001,Free
STU389,Taiwan,Female,5/1/2006,Premium
STU390,Vietnam,Female,12/6/1999,Free
STU391,France,Female,3/5/2004,Free
STU392,Saudi Arabia,Male,5/31/1997,Premium
STU393,Croatia,Female,10/20/1997,Free
STU394,Saudi Arabia,Female,9/3/2005,Free
STU395,Turkey,Male,6/21/2000,Premium
STU396,Turkey,Male,4/30/2001,Premium
STU397,Spain,Female,7/28/1998,Free
STU398,Turkey,Male,5/2/2005,Basic
STU399,Russia,Female,1/1/2002,Premium
STU400,Vietnam,Female,5/4/2000,Free
